base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Close spouse', 'Full label': '""Being close to my spouse""'}",Relationship Maintenance,"The shared goal 'Being close to my spouse' inherently involves emotional intimacy and mutual understanding, making 'Relationship Maintenance' the most fitting social goal category. This category focuses on sustaining and nurturing existing relationships, which aligns perfectly with the context of maintaining closeness in a marital relationship. The personal goals for each agent are designed to reflect individual motivations within this shared relationship context, ensuring they are evaluable in a conversation by observing behaviors like attentiveness, emotional support, or engagement in joint activities. The assigned social roles (e.g., 'Emotional Supporter' and 'Activity Planner') further shape how each agent contributes to the relationship dynamics while pursuing their personal goals.",To ensure my spouse feels emotionally supported and valued in our relationship.,To create shared experiences that strengthen our emotional bond and mutual understanding.,"""Being close to my spouse""",Emotional Supporter,Activity Planner,"{'scenario_context': '[Agent 1] and [Agent 2] are a married couple planning a weekend getaway to reconnect emotionally. [Agent 1], as the Emotional Supporter, wants to focus on deep conversations and emotional validation to ensure [Agent 2] feels valued. [Agent 2], as the Activity Planner, has researched various activities and sights to visit, hoping these shared experiences will strengthen their bond. While both share the goal of being close to each other, their approaches differ—[Agent 1] prioritizes emotional intimacy, while [Agent 2] emphasizes shared adventures. The tension lies in balancing these complementary but distinct methods of relationship maintenance.'}",0.9847346047560374,"{'shared_goal_score': 0.9782604575157166, 'social_goal_category_score': 0.9854761958122253, 'first_agent_goal_score': 0.9998992085456848, 'second_agent_goal_score': 0.9998766779899597, 'first_agent_role_score': 0.972895085811615, 'second_agent_role_score': 0.972000002861023}"
"{'Abbreviation': 'Being responsible', 'Full label': '""Being responsible , dependable""'}",Relationship Maintenance,"Given the shared goal of 'Being responsible, dependable,' we selected the social goal category 'Relationship Maintenance,' as this goal often involves sustaining trust and reliability in interpersonal relationships. Each agent's personal goal reflects their unique motivation while aligning with the shared goal. The social roles assigned to the agents ('Supervisor' and 'Subordinate') create a dynamic where interaction is influenced by hierarchical responsibilities while striving for dependability.",Ensure that tasks are completed reliably to maintain trust in the relationship.,Demonstrate consistent dependability to uphold their reputation in the relationship.,"""Being responsible , dependable""",Supervisor,Subordinate,"{'scenario_context': 'In a workplace setting focused on project completion, [Agent 1], the Supervisor, and [Agent 2], the Subordinate, are preparing for a critical deadline. The shared goal is to demonstrate responsibility and dependability by ensuring all tasks are completed on time and efficiently. [Agent 1] aims to maintain trust in their professional relationship by ensuring that [Agent 2] meets their obligations reliably. Meanwhile, [Agent 2] seeks to uphold their reputation as a dependable team member by consistently delivering on their assigned tasks. The situation presents medium difficulty as both agents must navigate the balance between accountability and autonomy, with potential minor setbacks in task coordination adding tension to their interpersonal dynamics.'}",0.9429527719815572,"{'shared_goal_score': 0.9971259832382202, 'social_goal_category_score': 0.8642206192016602, 'first_agent_goal_score': 0.9999371767044067, 'second_agent_goal_score': 0.9999285936355591, 'first_agent_role_score': 0.9285920262336731, 'second_agent_role_score': 0.867912232875824}"
"{'Abbreviation': 'Looking young', 'Full label': '""Looking young""'}",Competition,"The shared goal 'Looking young' can be approached from various angles. Given the social goal categories, 'Competition' was chosen because maintaining a youthful appearance can often involve comparing oneself to others, leading to competitive behaviors. The first agent aims to look younger than others, reflecting a competitive mindset, while the second agent seeks genuine admiration without comparison, subtly shifting the focus from competition to personal satisfaction.",To look younger than others in the social group,To receive genuine compliments on their youthful appearance without comparing themselves to others,"""Looking young""",Competitive Peer,Confident Individual,"{'scenario_context': ""Agent 1 and Agent 2 are attending a high school reunion where the shared goal among attendees is 'looking young.' Agent 1, as a Competitive Peer, is determined to stand out by appearing noticeably younger than the rest of the group, subtly comparing themselves to others. Agent 2, a Confident Individual, aims to enjoy the event without engaging in comparisons, hoping to receive authentic compliments on their youthful appearance based on their natural confidence and self-assured demeanor. The setting is a lively reunion hall filled with nostalgic decorations and a mix of excitement and subtle tension as old classmates reunite.""}",0.9680198033650717,"{'shared_goal_score': 0.9963666796684265, 'social_goal_category_score': 0.8466772437095642, 'first_agent_goal_score': 0.9996169209480286, 'second_agent_goal_score': 0.9994792938232422, 'first_agent_role_score': 0.9785751104354858, 'second_agent_role_score': 0.9874035716056824}"
"{'Abbreviation': 'Own guidelines', 'Full label': '""Setting and following my own guidelines""'}",Identity Recognition,"Given the shared goal 'Setting and following my own guidelines', the most relevant social goal categories are 'Identity Recognition' and 'Cooperation'. Identity Recognition focuses on understanding and asserting one's own identity and guidelines, while Cooperation emphasizes working together to achieve these personal guidelines. For this task, we choose 'Identity Recognition' as it directly aligns with the idea of setting personal guidelines and asserting them in a social context.",To assert and establish my personal guidelines as valid and respected.,To support and acknowledge the first agent's personal guidelines while subtly integrating my own.,"""Setting and following my own guidelines""",Self-Asserter (someone who actively sets and defends their own guidelines),Supporter (someone who validates and integrates guidelines from others),"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working on a collaborative project that requires establishing a shared set of guidelines for workflow and decision-making. The project is important to both, as it reflects their professional identity and values. [Agent 1] has prepared a detailed set of personal guidelines they believe will optimize the project's success and wants these to be officially adopted. [Agent 2], while supportive of [Agent 1]'s initiative, has their own subtle preferences for how certain aspects should be handled and hopes to find a way to blend their ideas with [Agent 1]'s without causing conflict. The setting is a meeting room where they are discussing the project's framework, and both aim to reach a consensus that respects their individual approaches while achieving the shared goal of setting effective guidelines.""}",0.6585844508372247,"{'shared_goal_score': 0.010109336115419865, 'social_goal_category_score': 0.8857904076576233, 'first_agent_goal_score': 0.9814479351043701, 'second_agent_goal_score': 0.9996833801269531, 'first_agent_role_score': 0.13538438081741333, 'second_agent_role_score': 0.9390912652015686}"
"{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,"The shared goal 'Having an erotic relationship' naturally aligns with the social goal category 'Relationship Building', as it involves establishing a deep and intimate connection between individuals. The personal goals for each agent should reflect their unique motivations and perspectives within this context, while their social roles will shape how they interact to achieve both personal and shared goals.","To establish a deep emotional and physical connection with the partner, ensuring mutual satisfaction and trust.",To explore and enjoy the erotic relationship while maintaining personal boundaries and independence.,"""Having an erotic relationship""",Romantic Partner,Independent Lover,"{'scenario_context': ""[Agent 1] and [Agent 2] have recently begun an erotic relationship and are spending an intimate evening together at [Agent 1]'s apartment. The shared goal is to deepen their erotic connection while exploring mutual satisfaction. [Agent 1] seeks to establish a profound emotional and physical bond, prioritizing trust and closeness, while [Agent 2] desires to enjoy the relationship passionately but values maintaining personal independence and boundaries. The evening presents an opportunity for both to navigate their differing approaches to intimacy and connection.""}",0.8001302182674408,"{'shared_goal_score': 0.9986235499382019, 'social_goal_category_score': 0.685096263885498, 'first_agent_goal_score': 0.9999565482139587, 'second_agent_goal_score': 0.9998046159744263, 'first_agent_role_score': 0.672655463218689, 'second_agent_role_score': 0.44464486837387085}"
"{'Abbreviation': 'Others to rely', 'Full label': '""Having others to rely on""'}",Relationship Building,"The shared goal 'Having others to rely on' is best aligned with the social goal categories of 'Relationship Building' and 'Relationship Maintenance'. These categories focus on establishing and sustaining trust and reliance between individuals. For this task, we will focus on 'Relationship Building' as it emphasizes the foundational aspect of creating reliable connections.",To establish a trustworthy connection with the other agent by demonstrating reliability and empathy.,To build a dependable relationship with the first agent by actively listening and offering support.,"""Having others to rely on""",Support Seeker,Support Provider,"{'scenario_context': '[Agent 1] is a new member of a community support group seeking to share personal struggles and find emotional support. [Agent 2] is a long-time participant in the group who has taken on the role of offering guidance and reassurance to newcomers. They are meeting for the first time in a quiet corner of the community center after the group session. Both agents aim to establish a trusting relationship where [Agent 1] can feel comfortable relying on [Agent 2] for understanding, while [Agent 2] wants to demonstrate their dependability and active listening skills to foster a meaningful connection.'}",0.916783889134725,"{'shared_goal_score': 0.9943943619728088, 'social_goal_category_score': 0.9610918164253235, 'first_agent_goal_score': 0.9999487996101379, 'second_agent_goal_score': 0.9999321103096008, 'first_agent_role_score': 0.9120517373085022, 'second_agent_role_score': 0.6332845091819763}"
"{'Abbreviation': 'Mechanical ability', 'Full label': '""Having mechanical ability""'}",Cooperation,"To explore how personality traits influence behavior in the context of 'Having mechanical ability', we selected the social goal category 'Cooperation'. This category is fitting because mechanical ability often involves collaboration, problem-solving, and shared tasks. Each agent is given a distinct personal goal that reflects their perspective and motivation while contributing to the shared goal. Their social roles further shape how they interact in pursuit of these goals.",To gain hands-on experience by assisting in practical mechanical tasks and learning from the interaction.,To share technical knowledge and demonstrate expertise while ensuring the task is completed efficiently.,"""Having mechanical ability""",Apprentice,Mentor,"{'scenario_context': 'In a small automotive repair shop, [Agent 1], an eager apprentice, and [Agent 2], a seasoned mentor, are tasked with rebuilding a vintage car engine together. The shared goal is to restore the engine to working condition, showcasing their mechanical ability. [Agent 1] seeks to gain hands-on experience by actively participating in the repair process, while [Agent 2] aims to impart technical knowledge and ensure the project stays on track. The shop is cluttered with tools and parts, creating a dynamic but challenging environment for collaboration. Both agents must balance their individual goals with the need to cooperate effectively to complete the task.'}",0.9834698140621185,"{'shared_goal_score': 0.9991694688796997, 'social_goal_category_score': 0.9911513924598694, 'first_agent_goal_score': 0.9994399547576904, 'second_agent_goal_score': 0.9999626874923706, 'first_agent_role_score': 0.93923419713974, 'second_agent_role_score': 0.9718611836433411}"
"{'Abbreviation': 'Knowing many others', 'Full label': '""Knowing and being on familiar terms with many others""'}",Relationship Building,"The shared goal 'Knowing and being on familiar terms with many others' aligns closely with the 'Relationship Building' category, as it involves establishing and fostering connections with others. This category is chosen because the primary aim is to create and maintain social bonds, which is central to relationship building. The first agent's personal goal is to 'Expand their social network by initiating conversations with new people', reflecting a proactive approach to meeting others. The second agent's personal goal is to 'Strengthen existing relationships while being open to new connections', indicating a balance between maintaining current bonds and forming new ones. The roles assigned—'Social Connector' for the first agent and 'Community Builder' for the second—highlight their approaches to achieving these goals within the shared context.",Expand their social network by initiating conversations with new people,Strengthen existing relationships while being open to new connections,"""Knowing and being on familiar terms with many others""",Social Connector,Community Builder,"{'scenario_context': '[Agent 1], a Social Connector, attends a community networking event with the goal of expanding their social network by initiating conversations with new people. [Agent 2], a Community Builder, is also at the event with the aim of strengthening existing relationships while remaining open to new connections. The shared goal for both agents is to know and be on familiar terms with many others in the community. As they navigate the event, [Agent 1] focuses on meeting as many new faces as possible, while [Agent 2] balances time between catching up with acquaintances and engaging with newcomers. The setting presents opportunities for collaboration but also potential challenges in aligning their approaches to relationship building.'}",0.9321947892506918,"{'shared_goal_score': 0.9997487664222717, 'social_goal_category_score': 0.9415236711502075, 'first_agent_goal_score': 0.9997241497039795, 'second_agent_goal_score': 0.9996814727783203, 'first_agent_role_score': 0.9689518809318542, 'second_agent_role_score': 0.6835387945175171}"
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g. , earth , environment , anticrime , antidrugs)""'}",Cooperation,"Given the shared goal of being committed to a cause, the most relevant social goal category is 'Cooperation' as it involves individuals working together towards a common goal. Each agent's personal goal should reflect their unique motivation within this cooperative framework. The roles assigned should complement each other to facilitate effective collaboration.",To inspire others to join the cause by sharing success stories and personal experiences.,To organize and coordinate group activities that advance the cause effectively.,"""Being committed to a cause (e.g. , earth , environment , anticrime , antidrugs)""",Motivational Speaker,Event Organizer,"{'scenario_context': ""The local community center is hosting a meeting for volunteers passionate about environmental conservation. [Agent 1], a motivational speaker, has been invited to share their journey and inspire new volunteers to join the cause. They aim to highlight personal successes and emotional connections to the movement. Meanwhile, [Agent 2], an event organizer, is focused on structuring the group's upcoming activities, ensuring resources and roles are allocated efficiently. Both agents share a commitment to growing the movement but approach the goal differently—one through inspiration, the other through organization. The tension lies in balancing emotional appeal with practical execution to maximize engagement and impact.""}",0.9637695451577505,"{'shared_goal_score': 0.9927648305892944, 'social_goal_category_score': 0.8325044512748718, 'first_agent_goal_score': 0.9999711513519287, 'second_agent_goal_score': 0.9999467134475708, 'first_agent_role_score': 0.9945105910301208, 'second_agent_role_score': 0.9629195332527161}"
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive , exciting , fascinating , impressing others""'}",3. Relationship Building,"Given the shared goal of 'Being socially attractive, exciting, fascinating, impressing others,' the most relevant social goal categories are Relationship Building (to create new social connections) and Identity Recognition (to affirm or enhance one's social identity). Relationship Building was chosen because the shared goal inherently involves attracting others, which aligns with forming new interpersonal connections. For the agents, distinct personal goals are defined to reflect their individual motivations while contributing to the shared goal. The roles assigned are intended to shape their interactions—one as a charismatic influencer seeking admiration, and the other as a social connector seeking validation.",To consistently impress others with captivating stories or achievements to gain admiration and social status.,To charm and engage others in conversations to form meaningful connections and validate their likability.,"""Being socially attractive , exciting , fascinating , impressing others""",Charismatic Influencer,Social Connector,"{'scenario_context': 'A high-profile networking event is being held in a trendy downtown venue, attracting a mix of socialites, creatives, and entrepreneurs. The ambiance is lively, with music playing softly in the background and attendees mingling over drinks. [Agent 1], a Charismatic Influencer, is known for their captivating presence and aims to stand out by sharing elaborate stories or accomplishments that will leave a lasting impression on the crowd. Meanwhile, [Agent 2], a Social Connector, thrives on forming genuine connections and seeks to engage others in meaningful conversations to validate their likability and build rapport. Both agents are drawn toward each other by the shared goal of being socially attractive and fascinating, yet their personal approaches—[Agent 1] seeking admiration and [Agent 2] longing for validation—create underlying tension as they navigate the event.'}",0.9425211846828461,"{'shared_goal_score': 0.999584972858429, 'social_goal_category_score': 0.7691068053245544, 'first_agent_goal_score': 0.9999510645866394, 'second_agent_goal_score': 0.999962329864502, 'first_agent_role_score': 0.9829406142234802, 'second_agent_role_score': 0.9035813212394714}"
"{'Abbreviation': 'Looking distinguished', 'Full label': '""Carrying myself well , looking distinguished""'}",Identity Recognition,"The shared goal 'Carrying myself well, looking distinguished' is closely tied to identity recognition and relationship building, as it involves presenting oneself in a certain way to others and potentially influencing social perceptions. For this scenario, we focus on 'Identity Recognition' as the primary social goal category, with agents working toward personal goals that align with their social roles and motivations.",To receive validation and admiration from others for my distinguished appearance.,To ensure my social status is reinforced by associating with others who carry themselves well.,"""Carrying myself well , looking distinguished""",Fashion Enthusiast,Socialite,"{'scenario_context': ""The setting is an exclusive high-profile charity gala, where attendees are carefully selected based on their social standing and appearance. [Agent 1], a Fashion Enthusiast, has spent weeks preparing a distinguished outfit to stand out and receive admiration from the elite crowd. [Agent 2], a well-known Socialite, is attending to network with individuals who embody sophistication, hoping to solidify their own status by being seen with the right people. Both agents encounter each other near the event's centerpiece, where their shared goal of 'carrying themselves well and looking distinguished' becomes the backdrop for their interaction.""}",0.9441715478897095,"{'shared_goal_score': 0.997066080570221, 'social_goal_category_score': 0.782069742679596, 'first_agent_goal_score': 0.9998818039894104, 'second_agent_goal_score': 0.9999426007270813, 'first_agent_role_score': 0.9904214143753052, 'second_agent_role_score': 0.8956476449966431}"
